cli_id,cli_clave,cli_nombre,cli_apellido,cli_genero,cli_fecha_creacion
51000,AW00011000, Jon,Yang ,M,2025-10-06
51001,AW00011001,Eugene,Huang  ,M,2025-10-06
51002,AW00011002,Ruben, Torres,M,2025-10-06
51003,AW00011003,Christy,  Zhu,F,2025-10-06
51004,AW00011004, Elizabeth,Johnson,F,2025-10-06
51005,AW00011005,Julio,Ruiz,M,2025-10-06
51006,AW00011006,Janet,Alvarez,F,2025-10-06
51007,AW00011007,Marco,Mehta,M,2025-10-06
51008,AW00011008,Rob,Verhoff,F,2025-10-06
51009,AW00011009,Shannon,Carlson,M,2025-10-06
51010,AW00011010,Jacquelyn,Suarez,F,2025-10-06
51011,AW00011011,Curtis,Lu,M,2025-10-06
51012,AW00011012,  Lauren, Walker,F,2025-10-06
51013,AW00011013, Ian , Jenkins ,M,2025-10-06
51014,AW00011014,Sydney,Bennett,F,2025-10-06
51015,AW00011015,  Chloe,Young,F,2025-10-06
51016,AW00011016,Wyatt,Hill,M,2025-10-07
51017,AW00011017,Shannon,Wang,F,2025-10-07
51018,AW00011018,Clarence,Rai,M,2025-10-07
51019,AW00011019,Luke,Lal,M,2025-10-07
51020,AW00011020,Jordan,King,M,2025-10-07
51021,AW00011021, Destiny,Wilson ,F,2025-10-07
51022,AW00011022,Ethan,Zhang,M,2025-10-07
51023,AW00011023,Seth,Edwards,M,2025-10-07
51024,AW00011024,Russell,Xie,M,2025-10-07
51025,AW00011025,Alejandro,Beck,M,2025-10-07
51026,AW00011026,Harold,Sai,M,2025-10-07
51027,AW00011027,Jessie,Zhao,M,2025-10-07
51028,AW00011028,Jill,Jimenez,F,2025-10-07
51029,AW00011029,Jimmy,Moreno,M,2025-10-07
51030,AW00011030,Bethany,Yuan,F,2025-10-07
51031,AW00011031,Theresa,Ramos,F,2025-10-07
51032,AW00011032,Denise,Stone,F,2025-10-07
51033,AW00011033,Jaime,Nath,M,2025-10-07
51034,AW00011034,Ebony,Gonzalez,F,2025-10-07
51035,AW00011035,Wendy,Dominguez,F,2025-10-07
51036,AW00011036,Jennifer,Russell,F,2025-10-07
51037,AW00011037,Chloe,Garcia,F,2025-10-07
51038,AW00011038,Diana,Hernandez,F,2025-10-07
51039,AW00011039,Marc,Martin,M,2025-10-07
51040,AW00011040,Jesse,Murphy,M,2025-10-07
51041,AW00011041,Amanda,Carter,F,2025-10-07
51042,AW00011042,Megan,Sanchez,F,2025-10-07
51043,AW00011043,Nathan,Simmons,M,2025-10-07
51044,AW00011044,Adam,Flores,M,2025-10-07
51045,AW00011045,Leonard,Nara,M,2025-10-07
51046,AW00011046,Christine,Yuan,F,2025-10-07
51047,AW00011047,Jaclyn,Lu,F,2025-10-07
51048,AW00011048,Jeremy,Powell,M,2025-10-07
51049,AW00011049,Carol,Rai,F,2025-10-07
51050,AW00011050,Alan,Zheng,M,2025-10-07
51051,AW00011051,Daniel,Johnson,M,2025-10-07
51052,AW00011052,Heidi,Lopez,F,2025-10-07
51053,AW00011053,Ana,Price,F,2025-10-07
51054,AW00011054,Deanna,Munoz,F,2025-10-07
51055,AW00011055,Gilbert,Raje,M,2025-10-07
51056,AW00011056,Michele,Nath,F,2025-10-07
51057,AW00011057,Carl,Andersen,M,2025-10-07
51058,AW00011058,Marc,Diaz,M,2025-10-07
51059,AW00011059,Ashlee,Andersen,F,2025-10-07
51060,AW00011060,Jon,Zhou,M,2025-10-07
51061,AW00011061,Todd,Gao,M,2025-10-07
51062,AW00011062,Noah,Powell,M,2025-10-07
51063,AW00011063, Angela  , Murphy  ,F,2025-10-07
51064,AW00011064,Chase, Reed  ,M,2025-10-07
51065,AW00011065,Jessica  ,Henderson ,F,2025-10-07
51066,AW00011066,Grace,  Butler,F,2025-10-07
51067,AW00011067, Caleb, Carter,M,2025-10-07
51068,AW00011068,Tiffany,Liang,F,2025-10-07
51069,AW00011069,Carolyn,Navarro,F,2025-10-07
51070,AW00011070, Willie , Raji,M,2025-10-07
51071,AW00011071,Linda, Serrano,F,2025-10-07
51072,AW00011072,Casey,Luo,F,2025-10-07
51073,AW00011073,Amy,Ye,F,2025-10-07
51074,AW00011074,Levi,Arun,M,2025-10-07
51075,AW00011075,Felicia,Jimenez,F,2025-10-07
51076,AW00011076,Blake,Anderson,M,2025-10-07
51077,AW00011077,Leah,Ye,F,2025-10-07
51078,AW00011078,Gina,Martin,F,2025-10-07
51079,AW00011079,Donald,Gonzalez,M,2025-10-07
51080,AW00011080,Damien,Chander,M,2025-10-07
51081,AW00011081,Savannah,Baker,F,2025-10-07
51082,AW00011082,Angela,Butler,F,2025-10-07
51083,AW00011083,Alyssa,Cox,F,2025-10-07
51084,AW00011084,Lucas,Phillips,M,2025-10-07
51085,AW00011085,Emily,Johnson,F,2025-10-07
51086,AW00011086,Ryan,  Brown,M,2025-10-07
51087,AW00011087,Tamara, Liang,F,2025-10-07
51088,AW00011088,Hunter,Davis,M,2025-10-07
51089,AW00011089,Abigail,Price,F,2025-10-07
51090,AW00011090,Trevor,Bryant,M,2025-10-07
51091,AW00011091,Dalton,Perez,M,2025-10-07
51092,AW00011092,Cheryl,Diaz,F,2025-10-07
51093,AW00011093,Aimee,He,F,2025-10-07
51094,AW00011094,Cedric,Ma,M,2025-10-07
51095,AW00011095,Chad,Kumar,M,2025-10-07
51096,AW00011096,Andr̩s,Anand,M,2025-10-07
51097,AW00011097,Edwin,Nara,M,2025-10-07
51098,AW00011098,Mallory,Rubio,F,2025-10-07
51099,AW00011099,Adam,Ross,M,2025-10-07
